name,year,director,actors,rating,no_of_votes,imdb_link
The Shawshank Redemption,1994,Frank Darabont,"Tim Robbins, Morgan Freeman",9.2,1710495.0,/title/tt0111161/
The Godfather,1972,Francis Ford Coppola,"Marlon Brando, Al Pacino",9.2,1169281.0,/title/tt0068646/
The Godfather: Part II,1974,Francis Ford Coppola,"Al Pacino, Robert De Niro",9.0,800914.0,/title/tt0071562/
The Dark Knight,2008,Christopher Nolan,"Christian Bale, Heath Ledger",8.9,1697321.0,/title/tt0468569/
12 Angry Men,1957,Sidney Lumet,"Henry Fonda, Lee J. Cobb",8.9,454688.0,/title/tt0050083/
Schindler's List,1993,Steven Spielberg,"Liam Neeson, Ralph Fiennes",8.9,875894.0,/title/tt0108052/
Pulp Fiction,1994,Quentin Tarantino,"John Travolta, Uma Thurman",8.9,1340358.0,/title/tt0110912/
The Lord of the Rings: The Return of the King,2003,Peter Jackson,"Elijah Wood, Viggo Mortensen",8.9,1229520.0,/title/tt0167260/
"Il buono, il brutto, il cattivo",1966,Sergio Leone,"Clint Eastwood, Eli Wallach",8.9,509254.0,/title/tt0060196/
Fight Club,1999,David Fincher,"Brad Pitt, Edward Norton",8.8,1364808.0,/title/tt0137523/
The Lord of the Rings: The Fellowship of the Ring,2001,Peter Jackson,"Elijah Wood, Ian McKellen",8.8,1252306.0,/title/tt0120737/
Star Wars: Episode V - The Empire Strikes Back,1980,Irvin Kershner,"Mark Hamill, Harrison Ford",8.7,848305.0,/title/tt0080684/
Forrest Gump,1994,Robert Zemeckis,"Tom Hanks, Robin Wright",8.7,1269267.0,/title/tt0109830/
Inception,2010,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt",8.7,1487767.0,/title/tt1375666/
The Lord of the Rings: The Two Towers,2002,Peter Jackson,"Elijah Wood, Ian McKellen",8.7,1113184.0,/title/tt0167261/
One Flew Over the Cuckoo's Nest,1975,Milos Forman,"Jack Nicholson, Louise Fletcher",8.7,687455.0,/title/tt0073486/
Goodfellas,1990,Martin Scorsese,"Robert De Niro, Ray Liotta",8.7,737686.0,/title/tt0099685/
The Matrix,1999,Lana Wachowski,"Keanu Reeves, Laurence Fishburne",8.7,1232092.0,/title/tt0133093/
Shichinin no samurai,1954,Akira Kurosawa,"Toshirô Mifune, Takashi Shimura",8.6,231754.0,/title/tt0047478/
Star Wars,1977,George Lucas,"Mark Hamill, Harrison Ford",8.6,921478.0,/title/tt0076759/
Cidade de Deus,2002,Fernando Meirelles,"Alexandre Rodrigues, Matheus Nachtergaele",8.6,539158.0,/title/tt0317248/
Se7en,1995,David Fincher,"Morgan Freeman, Brad Pitt",8.6,1037532.0,/title/tt0114369/
The Silence of the Lambs,1991,Jonathan Demme,"Jodie Foster, Anthony Hopkins",8.6,899502.0,/title/tt0102926/
It's a Wonderful Life,1946,Frank Capra,"James Stewart, Donna Reed",8.6,278878.0,/title/tt0038650/
The Usual Suspects,1995,Bryan Singer,"Kevin Spacey, Gabriel Byrne",8.6,749629.0,/title/tt0114814/
La vita è bella,1997,Roberto Benigni,"Roberto Benigni, Nicoletta Braschi",8.6,426595.0,/title/tt0118799/
Léon,1994,Luc Besson,"Jean Reno, Gary Oldman",8.5,735532.0,/title/tt0110413/
Sen to Chihiro no kamikakushi,2001,Hayao Miyazaki,"Daveigh Chase, Suzanne Pleshette",8.5,424993.0,/title/tt0245429/
Once Upon a Time in the West,1968,Sergio Leone,"Henry Fonda, Charles Bronson",8.5,218600.0,/title/tt0064116/
Saving Private Ryan,1998,Steven Spielberg,"Tom Hanks, Matt Damon",8.5,892857.0,/title/tt0120815/
American History X,1998,Tony Kaye,"Edward Norton, Edward Furlong",8.5,791645.0,/title/tt0120586/
Casablanca,1942,Michael Curtiz,"Humphrey Bogart, Ingrid Bergman",8.5,391530.0,/title/tt0034583/
Interstellar,2014,Christopher Nolan,"Matthew McConaughey, Anne Hathaway",8.5,948774.0,/title/tt0816692/
Psycho,1960,Alfred Hitchcock,"Anthony Perkins, Janet Leigh",8.5,427901.0,/title/tt0054215/
City Lights,1931,Charles Chaplin,"Charles Chaplin, Virginia Cherrill",8.5,109948.0,/title/tt0021749/
Raiders of the Lost Ark,1981,Steven Spielberg,"Harrison Ford, Karen Allen",8.5,668097.0,/title/tt0082971/
The Green Mile,1999,Frank Darabont,"Tom Hanks, Michael Clarke Duncan",8.5,795627.0,/title/tt0120689/
Modern Times,1936,Charles Chaplin,"Charles Chaplin, Paulette Goddard",8.5,145364.0,/title/tt0027977/
The Intouchables,2011,Olivier Nakache,"François Cluzet, Omar Sy",8.5,512735.0,/title/tt1675434/
Rear Window,1954,Alfred Hitchcock,"James Stewart, Grace Kelly",8.5,320080.0,/title/tt0047396/
Terminator 2: Judgment Day,1991,James Cameron,"Arnold Schwarzenegger, Linda Hamilton",8.5,753292.0,/title/tt0103064/
The Departed,2006,Martin Scorsese,"Leonardo DiCaprio, Matt Damon",8.5,884689.0,/title/tt0407887/
The Pianist,2002,Roman Polanski,"Adrien Brody, Thomas Kretschmann",8.5,506319.0,/title/tt0253474/
Back to the Future,1985,Robert Zemeckis,"Michael J. Fox, Christopher Lloyd",8.5,742175.0,/title/tt0088763/
Whiplash,2014,Damien Chazelle,"Miles Teller, J.K. Simmons",8.5,412557.0,/title/tt2582802/
Gladiator,2000,Ridley Scott,"Russell Crowe, Joaquin Phoenix",8.5,994666.0,/title/tt0172495/
Memento,2000,Christopher Nolan,"Guy Pearce, Carrie-Anne Moss",8.5,856404.0,/title/tt0209144/
Apocalypse Now,1979,Francis Ford Coppola,"Martin Sheen, Marlon Brando",8.5,455402.0,/title/tt0078788/
The Prestige,2006,Christopher Nolan,"Christian Bale, Hugh Jackman",8.5,855772.0,/title/tt0482571/
The Lion King,1994,Roger Allers,"Matthew Broderick, Jeremy Irons",8.5,654045.0,/title/tt0110357/
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Stanley Kubrick,"Peter Sellers, George C. Scott",8.4,346405.0,/title/tt0057012/
Alien,1979,Ridley Scott,"Sigourney Weaver, Tom Skerritt",8.4,570836.0,/title/tt0078748/
Sunset Blvd.,1950,Billy Wilder,"William Holden, Gloria Swanson",8.4,141247.0,/title/tt0043014/
The Great Dictator,1940,Charles Chaplin,"Charles Chaplin, Paulette Goddard",8.4,139616.0,/title/tt0032553/
The Lives of Others,2006,Florian Henckel von Donnersmarck,"Ulrich Mühe, Martina Gedeck",8.4,262659.0,/title/tt0405094/
Nuovo Cinema Paradiso,1988,Giuseppe Tornatore,"Philippe Noiret, Enzo Cannavale",8.4,154688.0,/title/tt0095765/
Paths of Glory,1957,Stanley Kubrick,"Kirk Douglas, Ralph Meeker",8.4,122539.0,/title/tt0050825/
Django Unchained,2012,Quentin Tarantino,"Jamie Foxx, Christoph Waltz",8.4,969549.0,/title/tt1853728/
The Shining,1980,Stanley Kubrick,"Jack Nicholson, Shelley Duvall",8.4,618291.0,/title/tt0081505/
Hotaru no haka,1988,Isao Takahata,"Tsutomu Tatsumi, Ayano Shiraishi",8.4,141131.0,/title/tt0095327/
WALL·E,2008,Andrew Stanton,"Ben Burtt, Elissa Knight",8.4,728663.0,/title/tt0910970/
The Dark Knight Rises,2012,Christopher Nolan,"Christian Bale, Tom Hardy",8.4,1158869.0,/title/tt1345836/
American Beauty,1999,Sam Mendes,"Kevin Spacey, Annette Bening",8.4,831724.0,/title/tt0169547/
Aliens,1986,James Cameron,"Sigourney Weaver, Michael Biehn",8.4,493586.0,/title/tt0090605/
Mononoke-hime,1997,Hayao Miyazaki,"Yôji Matsuda, Yuriko Ishida",8.4,224931.0,/title/tt0119698/
Oldeuboi,2003,Chan-wook Park,"Min-sik Choi, Ji-tae Yu",8.4,361348.0,/title/tt0364569/
Once Upon a Time in America,1984,Sergio Leone,"Robert De Niro, James Woods",8.4,223785.0,/title/tt0087843/
Citizen Kane,1941,Orson Welles,"Orson Welles, Joseph Cotten",8.4,301193.0,/title/tt0033467/
Das Boot,1981,Wolfgang Petersen,"Jürgen Prochnow, Herbert Grönemeyer",8.3,169961.0,/title/tt0082096/
North by Northwest,1959,Alfred Hitchcock,"Cary Grant, Eva Marie Saint",8.3,222539.0,/title/tt0053125/
Witness for the Prosecution,1957,Billy Wilder,"Tyrone Power, Marlene Dietrich",8.3,64352.0,/title/tt0051201/
Vertigo,1958,Alfred Hitchcock,"James Stewart, Kim Novak",8.3,252275.0,/title/tt0052357/
Star Wars: Episode VI - Return of the Jedi,1983,Richard Marquand,"Mark Hamill, Harrison Ford",8.3,691118.0,/title/tt0086190/
M,1931,Fritz Lang,"Peter Lorre, Ellen Widmann",8.3,100253.0,/title/tt0022100/
Reservoir Dogs,1992,Quentin Tarantino,"Harvey Keitel, Tim Roth",8.3,672896.0,/title/tt0105236/
Braveheart,1995,Mel Gibson,"Mel Gibson, Sophie Marceau",8.3,745019.0,/title/tt0112573/
Amélie,2001,Jean-Pierre Jeunet,"Audrey Tautou, Mathieu Kassovitz",8.3,540730.0,/title/tt0211915/
Requiem for a Dream,2000,Darren Aronofsky,"Ellen Burstyn, Jared Leto",8.3,580227.0,/title/tt0180093/
A Clockwork Orange,1971,Stanley Kubrick,"Malcolm McDowell, Patrick Magee",8.3,565338.0,/title/tt0066921/
Taxi Driver,1976,Martin Scorsese,"Robert De Niro, Jodie Foster",8.3,513917.0,/title/tt0075314/
